site_id,dem_tile,dem_tiles_used,slope_samples,mean_slope_deg,p90_slope_deg
OSM-1004170260,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,960,0.861,2.245
OSM-1004170261,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,340,2.221,6.867
OSM-1011330439,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,2175,1.331,3.331
OSM-1011330440,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,558,1.878,5.01
OSM-1026364179,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1106,0.952,2.133
OSM-1038396674,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,6388,0.967,1.486
OSM-1038396675,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,11378,0.837,1.18
OSM-1038396676,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1788,0.692,0.932
OSM-1038396678,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,4169,0.994,1.841
OSM-1038590201,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,4213,0.76,1.095
OSM-1038590202,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,7411,0.669,1.048
OSM-1038590203,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,7413,1.007,1.984
OSM-1038590219,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,3485,1.052,1.918
OSM-1045539444,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,446,1.608,2.685
OSM-1047289952,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,383,2.042,4.867
OSM-1047292074,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,810,1.338,2.924
OSM-1051845712,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,973,2.234,4.502
OSM-1052151517,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,539,1.662,3.553
OSM-1052235339,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,461,0.531,0.905
OSM-1052235340,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,401,0.939,2.131
OSM-1053495388,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,4569,0.621,0.968
OSM-1053495390,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,2489,0.701,1.3
OSM-1053495391,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1051,0.84,1.951
OSM-1064479324,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1477,0.821,1.572
OSM-1064479330,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,14635,0.676,1.073
OSM-1067188318,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1846,0.967,2.164
OSM-1067188319,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,990,0.99,2.389
OSM-1067188320,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,484,0.922,2.476
OSM-1067188321,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1436,0.853,1.798
OSM-1067189446,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,412,1.868,6.424
OSM-1067189447,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1029,0.997,2.482
OSM-1067655258,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,934,1.534,3.964
OSM-1071036374,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,449,0.584,1.302
OSM-1072264199,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,931,0.533,1.142
OSM-1073027098,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1953,1.962,3.94
OSM-1073027120,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,866,0.598,0.991
OSM-1075230601,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,542,0.437,0.76
OSM-1075230602,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,881,0.567,0.803
OSM-1075230603,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,404,0.351,0.687
OSM-1075230614,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1203,0.376,0.643
OSM-1075230616,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,964,0.358,0.545
OSM-1075231086,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,902,0.702,1.65
OSM-1078445993,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,2418,0.763,1.251
OSM-1083748691,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,367,0.703,1.221
OSM-1083748696,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,800,0.814,1.225
OSM-1084210490,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,965,1.529,3.759
OSM-1084210491,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1934,1.105,2.633
OSM-1084210505,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,818,1.495,3.815
OSM-1084210510,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1144,1.273,3.559
OSM-1085580029,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,368,3.321,7.894
OSM-1085580031,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,499,3.73,8.232
OSM-1085788941,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,633,1.084,3.129
OSM-1085788946,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1300,0.832,1.999
OSM-1085788947,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,412,1.751,4.164
OSM-1093258403,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,2755,1.593,3.396
OSM-1093959719,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1637,0.652,1.108
OSM-1093959720,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1509,0.826,1.402
OSM-1093959721,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,659,1.157,3.29
OSM-1093959723,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,547,1.242,4.135
OSM-1093959724,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,2432,1.037,1.823
