site_id,status,failed_rule_ids,rules_not_applied,width_2ap_m,width_core_pass,width_methods_disagree,S05_hpl_flag,s05_basis,hpl_fraction,luc_noise_band,luc_mapped_fraction,S05_verify_luc,s04_basis,conservation_overlap_m2,conservation_noise_band_m2,S06_verify_grid,S08_verify_slope,slope_sampled_fraction,S10_coastal_flag
DEMO-01,candidate_review,,S-08;S-09;S-10,332.3,True,False,True,dominant_class,,0.1926,,False,,0.0,1330.0,False,True,,False
DEMO-02,candidate_review,,S-08;S-09;S-10,417.5,True,False,False,dominant_class,,0.1533,,False,,0.0,1670.0,False,True,,False
DEMO-03,candidate_review,,S-08;S-09;S-10,343.3,True,False,True,dominant_class,,0.1864,,False,,0.0,1530.0,False,True,,False
DEMO-04,quarantine,S-03,S-08;S-09;S-10,332.3,True,False,True,dominant_class,,0.1926,,False,,0.0,1330.0,False,True,,False
DEMO-05,candidate_review,,S-08;S-09;S-10,417.5,True,False,False,dominant_class,,0.1533,,False,,0.0,1670.0,False,True,,False
DEMO-06,quarantine,S-03,S-08;S-09;S-10,343.3,True,False,False,dominant_class,,0.1864,,False,,0.0,1530.0,False,True,,False
DEMO-07,candidate_review,,S-08;S-09;S-10,332.3,True,False,True,dominant_class,,0.1926,,False,,0.0,1330.0,False,True,,False
DEMO-08,candidate_review,,S-08;S-09;S-10,417.5,True,False,False,dominant_class,,0.1533,,False,,0.0,1670.0,False,True,,False
DEMO-09,candidate_review,,S-08;S-09;S-10,343.3,True,False,True,dominant_class,,0.1864,,False,,0.0,1530.0,False,True,,False
DEMO-10,candidate_review,,S-08;S-09;S-10,332.3,True,False,False,dominant_class,,0.1926,,False,,0.0,1330.0,False,True,,False
DEMO-11,quarantine,S-01,S-08;S-09;S-10,100.0,True,True,True,dominant_class,,0.64,,False,,0.0,400.0,False,True,,False
DEMO-12,quarantine,S-04,S-08;S-09;S-10,343.3,True,False,False,dominant_class,,0.1864,,False,geometry,525200.0,1530.0,False,True,,False
