site_id,area_ha,transmission_110kv_plus_m,subtransmission_33_66kv_m,distribution_22kv_m,road_m,subtransmission_33_66kv_rank,road_rank,subtransmission_33_66kv_road_rank_shift,mean_slope_deg,water_m,coastline_m,S08_slope_pass,S09_water_pass,S10_coastal_flag,latitude,longitude,basemaps_url,reviewed_on,reviewer,imagery,zoom_level,evidence_image,observed_detail,developable,finding
OSM-1106893529,214.2,22079.4,11437.4,57.7,0.0,2341,1,2340,1.21,0.0,68.8,True,False,True,-43.841718,172.441313,"https://basemaps.linz.govt.nz/@-43.841718,172.441313,z16",2026-09-13,Claude Opus 5 (AI agent) in the repository author's session; not independently confirmed by a person,"LINZ Basemaps aerial, WebMercatorQuad z14, 3x3 tile mosaic centred on the polygon centroid",14,data/aerial/OSM-1106893529.jpg,Marker sits on the barrier with the lagoon shore about 400 m north and a continuous white surf line about 500 m south; a small hooked sand island lies in the lagoon to the west. The only improved green paddock in frame is east of the marker beyond a shelterbelt.,no,"Kaitorete Spit. Bare gravel, dune and rough barrier vegetation between the lagoon and the open coast, with a formed track along it. Not developable land."
OSM-1107203598,294.7,21459.0,10214.9,7.5,0.0,2316,1,2315,0.57,0.0,1226.7,True,False,False,-43.827686,172.509168,"https://basemaps.linz.govt.nz/@-43.827686,172.509168,z16",2026-09-13,Claude Opus 5 (AI agent) in the repository author's session; not independently confirmed by a person,"LINZ Basemaps aerial, WebMercatorQuad z14, 3x3 tile mosaic centred on the polygon centroid",14,data/aerial/OSM-1107203598.jpg,"A light aircraft is parked on a pale grass airstrip roughly 700 m east-southeast of the marker, inside a fenced paddock block. The marker itself is on unimproved grey-green lagoon-margin flats north of that fence line.",no,"Kaitorete Spit. The polygon covers the rough lagoon margin, not the improved paddocks to its south. Barrier landform, not developable."
OSM-1106893522,22.5,22599.5,14182.0,1220.7,0.3,2354,46,2308,1.48,614.1,504.6,True,True,True,-43.841193,172.459401,"https://basemaps.linz.govt.nz/@-43.841193,172.459401,z16",2026-09-13,Claude Opus 5 (AI agent) in the repository author's session; not independently confirmed by a person,"LINZ Basemaps aerial, WebMercatorQuad z14, 3x3 tile mosaic centred on the polygon centroid",14,data/aerial/OSM-1106893522.jpg,"Barrier is roughly 700 m wide here: dark lagoon-edge vegetation across the top, a strip of small rectangular paddocks with dark shelterbelts through the middle, then grey gravel and the surf line along the bottom. Marker sits at the paddock/margin boundary.",no,Kaitorete Spit. A narrow strip of small paddocks between the lagoon shore and the ocean beach. Too narrow and too exposed to be a candidate.
OSM-1095162202,21.3,16512.6,10996.6,9.8,2.9,2333,81,2252,0.9,1779.3,1224.4,True,True,False,-43.878041,172.234398,"https://basemaps.linz.govt.nz/@-43.878041,172.234398,z16",2026-09-13,Claude Opus 5 (AI agent) in the repository author's session; not independently confirmed by a person,"LINZ Basemaps aerial, WebMercatorQuad z14, 3x3 tile mosaic centred on the polygon centroid",14,data/aerial/OSM-1095162202.jpg,"Regular rectangular paddocks in mixed green and tan crop colours, a small coastal settlement about 1.2 km south-southeast, and a braided riverbed with dark riparian forest along the western edge of the frame.",yes,"Plains cropping and pasture inland of a river-mouth settlement. Flat, regular, road frontage. A genuine candidate."
OSM-1419668719,71.3,2396.9,9457.7,302.2,2.5,2304,66,2238,0.66,477.9,24114.9,True,True,False,-44.024777,171.29487,"https://basemaps.linz.govt.nz/@-44.024777,171.29487,z16",2026-09-13,Claude Opus 5 (AI agent) in the repository author's session; not independently confirmed by a person,"LINZ Basemaps aerial, WebMercatorQuad z14, 3x3 tile mosaic centred on the polygon centroid",14,data/aerial/OSM-1419668719.jpg,"The marker sits inside a complete centre-pivot circle; at least eight more pivot circles fill the frame, with a braided riverbed and its shingle down the western side and two small green irrigation ponds to the south-east.",yes,"Centre-pivot irrigated cropping. Flat, large and regular. A genuine candidate."
OSM-1106121769,43.9,36578.4,11082.9,0.0,3.7,2335,114,2221,21.36,1022.7,0.0,False,True,True,-43.728641,173.100147,"https://basemaps.linz.govt.nz/@-43.728641,173.100147,z16",2026-09-13,Claude Opus 5 (AI agent) in the repository author's session; not independently confirmed by a person,"LINZ Basemaps aerial, WebMercatorQuad z14, 3x3 tile mosaic centred on the polygon centroid",14,data/aerial/OSM-1106121769.jpg,"Marker is on a tan-brown spur that drops into dark cliffed shoreline within about 200 m to the east and south; a bay with a beach and a cluster of buildings sits below to the south, and the surrounding slopes are cut by deep shadowed gullies.",no,"Banks Peninsula. Steep coastal hillside above cliffs. Slope alone rules it out, and S-08 is not implemented in the baseline, so nothing in the screen caught it."
OSM-1098809635,32.1,12705.6,8967.5,0.0,2.7,2287,74,2213,1.02,1514.1,4134.0,True,True,False,-43.858705,172.197662,"https://basemaps.linz.govt.nz/@-43.858705,172.197662,z16",2026-09-13,Claude Opus 5 (AI agent) in the repository author's session; not independently confirmed by a person,"LINZ Basemaps aerial, WebMercatorQuad z14, 3x3 tile mosaic centred on the polygon centroid",14,data/aerial/OSM-1098809635.jpg,Flat improved paddocks with dark shelterbelt lines running north-south; an active braided channel with pale shingle is about 300 m east of the marker and the main braided riverbed with its wide white shingle bed is about 2 km west.,yes,"Flat improved pasture on a terrace between two braided channels. Developable, but flood hazard is out of scope here and would need checking."
OSM-1106166175,21.7,37966.1,10233.6,0.0,3.6,2318,109,2209,23.84,197.4,755.6,False,True,True,-43.754466,173.095601,"https://basemaps.linz.govt.nz/@-43.754466,173.095601,z16",2026-09-13,Claude Opus 5 (AI agent) in the repository author's session; not independently confirmed by a person,"LINZ Basemaps aerial, WebMercatorQuad z14, 3x3 tile mosaic centred on the polygon centroid",14,data/aerial/OSM-1106166175.jpg,"Marker is on a narrow valley floor about 600 m inland of a beach, with a cluster of buildings between it and the shore; steep dark-green slopes rise on both sides within a few hundred metres, and the valley is under 400 m wide.",no,Banks Peninsula. Enclosed bay-head valley floor immediately behind a settlement. Too small and too constrained to be a candidate.
OSM-1106896738,312.2,21420.4,7152.1,0.0,0.0,2205,1,2204,0.61,515.9,1341.9,True,True,False,-43.820433,172.553821,"https://basemaps.linz.govt.nz/@-43.820433,172.553821,z16",2026-09-13,Claude Opus 5 (AI agent) in the repository author's session; not independently confirmed by a person,"LINZ Basemaps aerial, WebMercatorQuad z14, 3x3 tile mosaic centred on the polygon centroid",14,data/aerial/OSM-1106896738.jpg,The same grass airstrip with a parked aircraft appears about 1.5 km west-south-west; the marker is on flat grey-green margin between the dark lagoon shoreline to the north and a block of bright green fenced paddocks to the south.,no,Kaitorete Spit. Lagoon-margin flats north of the improved paddocks; same barrier landform as the other spit polygons.
OSM-1099340109,26.6,11204.5,9064.8,0.0,3.3,2290,97,2193,0.71,1467.2,6179.6,True,True,False,-43.84291,172.190969,"https://basemaps.linz.govt.nz/@-43.84291,172.190969,z16",2026-09-13,Claude Opus 5 (AI agent) in the repository author's session; not independently confirmed by a person,"LINZ Basemaps aerial, WebMercatorQuad z14, 3x3 tile mosaic centred on the polygon centroid",14,data/aerial/OSM-1099340109.jpg,"Marker sits in a large regular paddock immediately west of a braided channel with pale shingle; a farmstead with white-roofed buildings and a shelterbelt lies about 600 m south-west, and the main braided riverbed is in the south-west corner of the frame.",yes,Flat improved pasture beside a river channel on the plains. A genuine candidate.
