crop,landuse,osm_id,area_ha,width_core_pass,site_id,transmission_110kv_plus_m,transmission_110kv_plus_rank,subtransmission_33_66kv_m,subtransmission_33_66kv_rank,distribution_22kv_m,distribution_22kv_rank,road_m,road_rank,transmission_110kv_plus_road_rank_shift,subtransmission_33_66kv_road_rank_shift,distribution_22kv_road_rank_shift,subtransmission_33_66kv_transmission_110kv_plus_rank_shift,S06_verify_grid
,meadow,1004170260,61.0,True,OSM-1004170260,4074.0,1056,1310.9,1026,501.3,2087,5.5,221,835,805,1866,30,False
,meadow,1004170261,20.4,True,OSM-1004170261,4388.2,1101,2553.8,1461,19.9,1460,9.6,1011,90,450,449,360,False
,farmland,1011330439,139.8,True,OSM-1011330439,9818.0,1746,4155.2,1854,0.0,1,0.0,1,1745,1853,0,108,False
,farmland,1011330440,33.5,True,OSM-1011330440,9562.5,1728,5289.0,2023,13.7,1185,5.6,232,1496,1791,953,295,True
,farmland,1026364179,65.9,True,OSM-1026364179,3442.4,949,271.7,539,3084.6,2350,0.0,1,948,538,2349,410,False
,meadow,1038396674,428.1,True,OSM-1038396674,11910.7,1938,2.3,158,1.4,646,7.6,494,1444,336,152,1780,False
,meadow,1038396675,763.5,True,OSM-1038396675,13370.0,2029,2.5,166,13.9,1190,13.5,1695,334,1529,505,1863,False
,meadow,1038396676,116.2,True,OSM-1038396676,14498.9,2092,0.0,1,2.7,839,6.0,268,1824,267,571,2091,False
,meadow,1038396678,275.0,True,OSM-1038396678,15060.0,2122,0.0,1,0.0,1,7.6,494,1628,493,493,2121,False
,meadow,1038590201,275.2,True,OSM-1038590201,15640.1,2150,32.9,470,0.2,509,6.9,379,1771,91,130,1680,False
,meadow,1038590202,496.6,True,OSM-1038590202,17558.4,2193,0.0,1,2.3,789,5.2,201,1992,200,588,2192,False
,meadow,1038590203,496.9,True,OSM-1038590203,17567.5,2195,15.0,312,0.0,1,7.4,459,1736,147,458,1883,False
,meadow,1038590219,228.6,True,OSM-1038590219,19726.1,2225,0.0,1,0.0,1,7.7,517,1708,516,516,2224,False
,orchard,1045539444,25.7,True,OSM-1045539444,660.2,311,25.0,457,101.0,1727,18.5,1810,1499,1353,83,146,False
,farmland,1047289952,21.8,True,OSM-1047289952,9112.8,1683,4024.3,1839,2951.9,2348,8.9,802,881,1037,1546,156,False
,farmland,1047292074,50.7,True,OSM-1047292074,10790.7,1847,5945.8,2106,805.9,2240,2.1,62,1785,2044,2178,259,True
,farmland,1051845712,60.6,True,OSM-1051845712,5779.4,1335,1530.6,1103,3123.5,2351,4.7,170,1165,933,2181,232,False
,meadow,1052151517,32.7,True,OSM-1052151517,13380.6,2030,3817.1,1787,0.9,594,7.6,494,1536,1293,100,243,False
,meadow,1052235339,28.5,True,OSM-1052235339,146.6,192,21.3,442,597.3,2150,7.6,494,302,52,1656,250,False
,meadow,1052235340,25.0,True,OSM-1052235340,0.0,1,0.0,1,134.7,1782,6.5,327,326,326,1455,0,False
,meadow,1053495388,303.1,True,OSM-1053495388,948.8,375,1584.3,1135,0.0,1,7.7,517,142,618,516,760,False
,meadow,1053495390,162.3,True,OSM-1053495390,2166.8,651,2747.8,1516,0.0,1,11.5,1488,837,28,1487,865,False
,meadow,1053495391,65.8,True,OSM-1053495391,3142.9,882,3905.0,1807,9.6,1125,9.1,863,19,944,262,925,False
,meadow,1064479324,85.4,True,OSM-1064479324,4232.4,1077,3.9,219,43.8,1625,5.9,261,816,42,1364,858,False
,meadow,1064479330,982.1,True,OSM-1064479330,4686.7,1148,7.7,278,0.0,1,0.0,1,1147,277,0,870,False
,meadow,1067188318,120.1,True,OSM-1067188318,2272.3,673,0.0,1,347.4,1974,9.0,835,162,834,1139,672,False
,meadow,1067188319,62.9,True,OSM-1067188319,2655.5,767,0.0,1,0.0,1,9.8,1071,304,1070,1070,766,False
,meadow,1067188320,29.7,True,OSM-1067188320,3766.8,1004,989.2,889,925.2,2271,10.4,1241,237,352,1030,115,False
,meadow,1067188321,92.3,True,OSM-1067188321,3011.8,853,1308.0,1023,556.4,2127,11.0,1387,534,364,740,170,False
,meadow,1067189446,24.9,True,OSM-1067189446,3648.0,988,724.3,765,797.6,2236,9.6,1011,23,246,1225,223,False
,meadow,1067189447,65.3,True,OSM-1067189447,2420.9,702,0.0,1,0.9,594,8.8,769,67,768,175,701,False
,meadow,1067655258,58.8,True,OSM-1067655258,618.4,298,1334.3,1040,0.0,1,7.7,517,219,523,516,742,False
,meadow,1071036374,27.3,True,OSM-1071036374,12588.1,1987,3163.7,1630,1.8,709,8.2,634,1353,996,75,357,False
,meadow,1072264199,59.8,True,OSM-1072264199,13590.4,2042,4406.2,1895,2.5,823,8.1,608,1434,1287,215,147,False
,farmland,1073027098,127.0,True,OSM-1073027098,1159.4,427,0.0,1,0.0,1,7.0,395,32,394,394,426,False
,meadow,1073027120,54.3,True,OSM-1073027120,1862.9,587,525.6,644,2.3,789,9.8,1071,484,427,282,57,False
,meadow,1075230601,33.6,True,OSM-1075230601,13495.2,2038,1151.2,956,68.6,1674,170.8,1954,84,998,280,1082,False
,meadow,1075230602,55.0,True,OSM-1075230602,14346.6,2082,1371.2,1045,0.0,1,3.6,109,1973,936,108,1037,False
,meadow,1075230603,24.5,True,OSM-1075230603,14339.3,2081,1674.4,1175,48.2,1637,562.7,2183,102,1008,546,906,False
,meadow,1075230614,76.6,True,OSM-1075230614,14524.2,2095,473.0,623,112.4,1748,6.8,367,1728,256,1381,1472,False
,meadow,1075230616,61.0,True,OSM-1075230616,13568.5,2041,55.6,480,202.9,1851,10.9,1370,671,890,481,1561,False
,meadow,1075231086,55.1,True,OSM-1075231086,12727.1,1996,26.5,458,0.0,1,7.9,553,1443,95,552,1538,False
,meadow,1078445993,158.0,True,OSM-1078445993,9309.5,1702,696.6,748,0.0,1,9.7,1039,663,291,1038,954,False
,meadow,1083748691,21.6,True,OSM-1083748691,261.8,227,2.2,154,20.3,1477,9.7,1039,812,885,438,73,False
,meadow,1083748696,48.3,True,OSM-1083748696,0.0,1,2.4,164,21.8,1526,9.3,926,925,762,600,163,False
,meadow,1084210490,58.3,True,OSM-1084210490,1547.9,516,1837.6,1222,16.0,1240,7.4,459,57,763,781,706,False
,meadow,1084210491,122.0,True,OSM-1084210491,522.7,279,2005.7,1294,17.1,1290,9.8,1071,792,223,219,1015,False
,meadow,1084210505,49.6,True,OSM-1084210505,937.4,372,1383.5,1048,0.5,545,7.0,395,23,653,150,676,False
